"species","lng","lat"
"Alaria esculenta",-6.368723,55.24556
"Alaria esculenta",-5.546838,54.38017
"Alaria esculenta",-6.657964,55.20651
"Alaria esculenta",-5.527111,54.64017
"Alaria esculenta",-5.961661,55.044
"Alaria esculenta",-5.688673,54.80067
"Alaria esculenta",-6.65819,55.20643
"Alaria esculenta",-6.692663,55.19633
"Alaria esculenta",-6.193164,55.29184
"Alaria esculenta",-6.692663,55.19633
"Alaria esculenta",-6.692663,55.19633
"Alaria esculenta",-5.458331,54.39
"Alaria esculenta",-5.604837,54.26167
"Alaria esculenta",-6.607529,55.2063
"Alaria esculenta",-5.529801,54.62136
"Alaria esculenta",-5.745372,54.85855
"Alaria esculenta",-5.743946,54.85618
"Alaria esculenta",-6.711502,55.189
"Alaria esculenta",-6.513338,55.23817
"Alaria esculenta",-6.188662,55.2865
"Alaria esculenta",-6.181171,55.267
"Alaria esculenta",-6.172168,55.29467
"Alaria esculenta",-6.545501,55.2175
"Alaria esculenta",-6.69334,55.19566
"Alaria esculenta",-6.723167,55.1785
"Alaria esculenta",-6.291163,55.22917
"Alaria esculenta",-5.70567,54.66783
"Alaria esculenta",-5.872166,54.17333
"Alaria esculenta",-5.78917,54.85083
"Alaria esculenta",-5.796995,54.853
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-6.657493,55.2115
"Alaria esculenta",-5.458331,54.39
"Alaria esculenta",-5.722362,54.84619
"Alaria esculenta",-6.291913,55.22926
"Alaria esculenta",-5.809496,54.86539
"Alaria esculenta",-5.573606,54.2762
"Alaria esculenta",-5.573606,54.2762
"Alaria esculenta",-5.809496,54.86539
"Alaria esculenta",-6.927993,52.12275
"Alaria esculenta",-6.928168,52.12275
"Alaria esculenta",-6.928168,52.12275
"Alaria esculenta",-6.928995,52.12335
"Alaria esculenta",-9.491506,53.04734
"Alaria esculenta",-7.943339,55.21416
"Alaria esculenta",-6.822367,52.19285
"Alaria esculenta",-10.40383,51.8345
"Alaria esculenta",-9.75707,51.45245
"Alaria esculenta",-10.23632,51.73967
"Alaria esculenta",-10.20208,53.87578
"Alaria esculenta",-10.60334,52.06167
"Alaria esculenta",-7.708772,51.94292
"Alaria esculenta",-7.338444,55.3731
"Alaria esculenta",-7.929017,55.18117
"Alaria esculenta",-6.724825,55.18055
"Alaria esculenta",-6.724825,55.18055
"Alaria esculenta",-6.7236,55.18095
"Alaria esculenta",-6.636169,55.2205
"Alaria esculenta",-6.354884,55.24282
"Alaria esculenta",-5.601733,54.26253
"Alaria esculenta",-6.354884,55.24282
"Alaria esculenta",-5.602946,54.25849
"Alaria esculenta",-6.65541,55.21978
"Alaria esculenta",-6.653095,55.2086
"Alaria esculenta",-5.762488,54.86055
"Alaria esculenta",-10.2539,53.55095
"Alaria esculenta",-10.30132,53.6079
"Alaria esculenta",-10.20516,53.87576
"Alaria esculenta",-10.20516,53.87576
"Alaria esculenta",-10.1364,53.68972
"Alaria esculenta",-10.13334,53.68961
"Alaria esculenta",-8.256471,55.27522
"Alaria esculenta",-8.191717,55.26225
